unique_identifier,timestamp,price
LTC-AUD,1557151657041797,7565
LTC-AUD,1557151218935068,7858
LTC-AUD,1557151218935069,7858
BTC-AUD,1557151218966066,540889
BTC-AUD,1557151219308066,549061
BTC-AUD,1557151219308067,549061
BTC-AUD,1557151469595058,549848
ZEC-AUD,1557151219468073,7069
BTC-AUD,1557151219971068,540889
ZEC-AUD,1557151469927060,6838
LTC-AUD,1557151470211062,7664
ETH-AUD,1557151470432073,18318
BTC-AUD,1557151470432078,549843
ETH-AUD,1557151691505934,18526
BTC-AUD,1557151220075070,548512
ETH-AUD,1557151470584062,18318
LTC-AUD,1557151470635063,7664
BTC-AUD,1557151470671071,554272
ETH-AUD,1557151691505935,18484
BTC-AUD,1557151470707062,549843
ZEC-AUD,1557151220264070,7069
BTC-AUD,1557151470707062,549843
ETH-AUD,1557151470822064,18318
BTC-AUD,1557151470836063,554272
BTC-AUD,1557151470836064,554272
BTC-AUD,1557151470836065,554272
LTC-AUD,1557151470934065,7665
LTC-AUD,1557151471062064,7665
LTC-AUD,1557151471133066,7660
LTC-AUD,1557151471173074,7640
BTC-AUD,1557151471173081,553708
ETH-AUD,1557151691505935,18526
LTC-AUD,1557151471321065,7640
BTC-AUD,1557151471313065,553708
LTC-AUD,1557151471401066,7660
BTC-AUD,1557151471435074,549844
BTC-AUD,1557151471547066,549844
BTC-AUD,1557151471547067,553708
BTC-AUD,1557151471547067,549844
BTC-AUD,1557151471547068,549844
BTC-AUD,1557151471547069,549844
ETH-AUD,1557151691505936,18526
LTC-AUD,1557151472941073,7656
LTC-AUD,1557151473188072,7656
LTC-AUD,1557151473188072,7656
ETH-AUD,1557151473442077,18273
ZEC-AUD,1557151473442092,6893
ETH-AUD,1557151473597074,18273
ETH-AUD,1557151473597074,18273
ZEC-AUD,1557151473647074,6893
ZEC-AUD,1557151473647074,6893
BTC-AUD,1557151473682079,554274
ETH-AUD,1557151473682082,18905
LTC-AUD,1557151473682088,7630
ZEC-AUD,1557151473682089,6821
BTC-AUD,1557151474124076,554274
BTC-AUD,1557151474124076,554274
LTC-AUD,1557151473944077,7659
ETH-AUD,1557151473944091,18264
ZEC-AUD,1557151474119076,6821
ZEC-AUD,1557151474119076,6821
LTC-AUD,1557151474175076,7630
LTC-AUD,1557151474175077,7630
LTC-AUD,1557151474175078,7630
ETH-AUD,1557151474174077,18905
ETH-AUD,1557151474174078,18905
ETH-AUD,1557151474183080,18910
LTC-AUD,1557151474183090,7642
ZEC-AUD,1557151474183095,6812
ETH-AUD,1557151474221077,18905
